Adding LIBD modules
Loading git
Loading LIBD module for git-status-size/github
Loading LIBD module for git-lfs/2.8.0
Loading LIBD module for rmate/1.5.9
Loading LIBD module for ruby/2.6.4p104
Loading conda_R/4.2.x
**** Job starts ****
Sun Jun 18 19:50:52 EDT 2023
**** JHPCE info ****
User: fgoes
Job id: 3570005
Job name: generate_ratio_matrix
Hostname: compute-108.cm.cluster
Task id: undefined
build qqnorm file...
Parsing chromosome names...
Starting...
Parsed 1000 introns...
Parsed 2000 introns...
Parsed 3000 introns...
Parsed 4000 introns...
Parsed 5000 introns...
Parsed 6000 introns...
Parsed 7000 introns...
Parsed 8000 introns...
Parsed 9000 introns...
Parsed 10000 introns...
Parsed 11000 introns...
Parsed 12000 introns...
Parsed 13000 introns...
Parsed 14000 introns...
Parsed 15000 introns...
Parsed 16000 introns...
Parsed 17000 introns...
Parsed 18000 introns...
Parsed 19000 introns...
Parsed 20000 introns...
Parsed 21000 introns...
Parsed 22000 introns...
Parsed 23000 introns...
Parsed 24000 introns...
Parsed 25000 introns...
Parsed 26000 introns...
Parsed 27000 introns...
Parsed 28000 introns...
Parsed 29000 introns...
Parsed 30000 introns...
Parsed 31000 introns...
Parsed 32000 introns...
Parsed 33000 introns...
Parsed 34000 introns...
Parsed 35000 introns...
Parsed 36000 introns...
Parsed 37000 introns...
Parsed 38000 introns...
Parsed 39000 introns...
Parsed 40000 introns...
Parsed 41000 introns...
Parsed 42000 introns...
Parsed 43000 introns...
Parsed 44000 introns...
Parsed 45000 introns...
Parsed 46000 introns...
Parsed 47000 introns...
Parsed 48000 introns...
Parsed 49000 introns...
Parsed 50000 introns...
Parsed 51000 introns...
Parsed 52000 introns...
Parsed 53000 introns...
Parsed 54000 introns...
Parsed 55000 introns...
Parsed 56000 introns...
Parsed 57000 introns...
Parsed 58000 introns...
Parsed 59000 introns...
Parsed 60000 introns...
Parsed 61000 introns...
Parsed 62000 introns...
Parsed 63000 introns...
Parsed 64000 introns...
Parsed 65000 introns...
Parsed 66000 introns...
Parsed 67000 introns...
Parsed 68000 introns...
Parsed 69000 introns...
Parsed 70000 introns...
Parsed 71000 introns...
Parsed 72000 introns...
Parsed 73000 introns...
Parsed 74000 introns...
Parsed 75000 introns...
Parsed 76000 introns...
Parsed 77000 introns...
Parsed 78000 introns...
Parsed 79000 introns...
Parsed 80000 introns...
Parsed 81000 introns...
Parsed 82000 introns...
Parsed 83000 introns...
Parsed 84000 introns...
Parsed 85000 introns...
Parsed 86000 introns...
Parsed 87000 introns...
Parsed 88000 introns...
Parsed 89000 introns...
Parsed 90000 introns...
Parsed 91000 introns...
Parsed 92000 introns...
Parsed 93000 introns...
Parsed 94000 introns...
Parsed 95000 introns...
Parsed 96000 introns...
Parsed 97000 introns...
Parsed 98000 introns...
Parsed 99000 introns...
Parsed 100000 introns...
Parsed 101000 introns...
Parsed 102000 introns...
Parsed 103000 introns...
Parsed 104000 introns...
Parsed 105000 introns...
Parsed 106000 introns...
Parsed 107000 introns...
Parsed 108000 introns...
Parsed 109000 introns...
Parsed 110000 introns...
Parsed 111000 introns...
Parsed 112000 introns...
Parsed 113000 introns...
Parsed 114000 introns...
Parsed 115000 introns...
Parsed 116000 introns...
Parsed 117000 introns...
Parsed 118000 introns...
Parsed 119000 introns...
Parsed 120000 introns...
Parsed 121000 introns...
Parsed 122000 introns...
Parsed 123000 introns...
Parsed 124000 introns...
Parsed 125000 introns...
Parsed 126000 introns...
Parsed 127000 introns...
Parsed 128000 introns...
Parsed 129000 introns...
Parsed 130000 introns...
Parsed 131000 introns...
Parsed 132000 introns...
Parsed 133000 introns...
Parsed 134000 introns...
Parsed 135000 introns...
Parsed 136000 introns...
Parsed 137000 introns...
Parsed 138000 introns...
Parsed 139000 introns...
Parsed 140000 introns...
Parsed 141000 introns...
Parsed 142000 introns...
Parsed 143000 introns...
Parsed 144000 introns...
Parsed 145000 introns...
Parsed 146000 introns...
Parsed 147000 introns...
Parsed 148000 introns...
Parsed 149000 introns...
Parsed 150000 introns...
Parsed 151000 introns...
Parsed 152000 introns...
Outputting: ../data/clusters/leafcutter_perind.counts.gz.qqnorm_chrY
Outputting: ../data/clusters/leafcutter_perind.counts.gz.qqnorm_chrX
Outputting: ../data/clusters/leafcutter_perind.counts.gz.qqnorm_chr13
Outputting: ../data/clusters/leafcutter_perind.counts.gz.qqnorm_chr12
Outputting: ../data/clusters/leafcutter_perind.counts.gz.qqnorm_chr11
Outputting: ../data/clusters/leafcutter_perind.counts.gz.qqnorm_chr10
Outputting: ../data/clusters/leafcutter_perind.counts.gz.qqnorm_chr17
Outputting: ../data/clusters/leafcutter_perind.counts.gz.qqnorm_chr16
Outputting: ../data/clusters/leafcutter_perind.counts.gz.qqnorm_chr15
Outputting: ../data/clusters/leafcutter_perind.counts.gz.qqnorm_chr14
Outputting: ../data/clusters/leafcutter_perind.counts.gz.qqnorm_chrM
Outputting: ../data/clusters/leafcutter_perind.counts.gz.qqnorm_chr18
Outputting: ../data/clusters/leafcutter_perind.counts.gz.qqnorm_chr19
Outputting: ../data/clusters/leafcutter_perind.counts.gz.qqnorm_chr22
Outputting: ../data/clusters/leafcutter_perind.counts.gz.qqnorm_chr20
Outputting: ../data/clusters/leafcutter_perind.counts.gz.qqnorm_chr21
Outputting: ../data/clusters/leafcutter_perind.counts.gz.qqnorm_chr7
Outputting: ../data/clusters/leafcutter_perind.counts.gz.qqnorm_chr6
Outputting: ../data/clusters/leafcutter_perind.counts.gz.qqnorm_chr5
Outputting: ../data/clusters/leafcutter_perind.counts.gz.qqnorm_chr4
Outputting: ../data/clusters/leafcutter_perind.counts.gz.qqnorm_chr3
Outputting: ../data/clusters/leafcutter_perind.counts.gz.qqnorm_chr2
Outputting: ../data/clusters/leafcutter_perind.counts.gz.qqnorm_chr1
Outputting: ../data/clusters/leafcutter_perind.counts.gz.qqnorm_chr9
Outputting: ../data/clusters/leafcutter_perind.counts.gz.qqnorm_chr8
Use `sh ../data/clusters/leafcutter_perind.counts.gz_prepare.sh' to create index for fastQTL (requires tabix and bgzip).
Outputting PCs: ../data/clusters/leafcutter_perind.counts.gz.PCs
Loading LIBD module for htslib/1.13
**** Job ends ****
Sun Jun 18 20:07:51 EDT 2023
