Adding LIBD modules
Loading git
Loading LIBD module for git-status-size/github
Loading LIBD module for git-lfs/2.8.0
Loading LIBD module for rmate/1.5.9
Loading LIBD module for ruby/2.6.4p104
Loading conda_R/devel
**** Job starts ****
Tue May 24 10:21:23 EDT 2022
**** JHPCE info ****
User: lhuuki
Job id: 226772
Job name: generate_ratio_matrix
Hostname: compute-089.cm.cluster
Task id: undefined
build qqnorm file...
Parsing chromosome names...
Starting...
Parsed 1000 introns...
Parsed 2000 introns...
Parsed 3000 introns...
Parsed 4000 introns...
Parsed 5000 introns...
Parsed 6000 introns...
Parsed 7000 introns...
Parsed 8000 introns...
Parsed 9000 introns...
Parsed 10000 introns...
Parsed 11000 introns...
Parsed 12000 introns...
Parsed 13000 introns...
Parsed 14000 introns...
Parsed 15000 introns...
Parsed 16000 introns...
Parsed 17000 introns...
Parsed 18000 introns...
Parsed 19000 introns...
Parsed 20000 introns...
Parsed 21000 introns...
Parsed 22000 introns...
Parsed 23000 introns...
Parsed 24000 introns...
Parsed 25000 introns...
Parsed 26000 introns...
Parsed 27000 introns...
Parsed 28000 introns...
Parsed 29000 introns...
Parsed 30000 introns...
Parsed 31000 introns...
Parsed 32000 introns...
Parsed 33000 introns...
Parsed 34000 introns...
Parsed 35000 introns...
Parsed 36000 introns...
Parsed 37000 introns...
Parsed 38000 introns...
Parsed 39000 introns...
Parsed 40000 introns...
Parsed 41000 introns...
Parsed 42000 introns...
Parsed 43000 introns...
Parsed 44000 introns...
Parsed 45000 introns...
Parsed 46000 introns...
Parsed 47000 introns...
Parsed 48000 introns...
Parsed 49000 introns...
Parsed 50000 introns...
Parsed 51000 introns...
Parsed 52000 introns...
Parsed 53000 introns...
Parsed 54000 introns...
Parsed 55000 introns...
Parsed 56000 introns...
Parsed 57000 introns...
Parsed 58000 introns...
Parsed 59000 introns...
Parsed 60000 introns...
Parsed 61000 introns...
Parsed 62000 introns...
Parsed 63000 introns...
Parsed 64000 introns...
Parsed 65000 introns...
Parsed 66000 introns...
Parsed 67000 introns...
Parsed 68000 introns...
Parsed 69000 introns...
Parsed 70000 introns...
Parsed 71000 introns...
Parsed 72000 introns...
Parsed 73000 introns...
Parsed 74000 introns...
Parsed 75000 introns...
Parsed 76000 introns...
Parsed 77000 introns...
Parsed 78000 introns...
Parsed 79000 introns...
Parsed 80000 introns...
Parsed 81000 introns...
Parsed 82000 introns...
Parsed 83000 introns...
Parsed 84000 introns...
Parsed 85000 introns...
Parsed 86000 introns...
Parsed 87000 introns...
Parsed 88000 introns...
Parsed 89000 introns...
Parsed 90000 introns...
Parsed 91000 introns...
Parsed 92000 introns...
Parsed 93000 introns...
Parsed 94000 introns...
Parsed 95000 introns...
Parsed 96000 introns...
Parsed 97000 introns...
Parsed 98000 introns...
Parsed 99000 introns...
Parsed 100000 introns...
Parsed 101000 introns...
Parsed 102000 introns...
Parsed 103000 introns...
Parsed 104000 introns...
Parsed 105000 introns...
Parsed 106000 introns...
Parsed 107000 introns...
Parsed 108000 introns...
Parsed 109000 introns...
Parsed 110000 introns...
Parsed 111000 introns...
Parsed 112000 introns...
Parsed 113000 introns...
Parsed 114000 introns...
Parsed 115000 introns...
Parsed 116000 introns...
Parsed 117000 introns...
Parsed 118000 introns...
Parsed 119000 introns...
Parsed 120000 introns...
Parsed 121000 introns...
Parsed 122000 introns...
Parsed 123000 introns...
Parsed 124000 introns...
Parsed 125000 introns...
Parsed 126000 introns...
Parsed 127000 introns...
Parsed 128000 introns...
Parsed 129000 introns...
Parsed 130000 introns...
Parsed 131000 introns...
Parsed 132000 introns...
Parsed 133000 introns...
Parsed 134000 introns...
Parsed 135000 introns...
Parsed 136000 introns...
Parsed 137000 introns...
Parsed 138000 introns...
Parsed 139000 introns...
Parsed 140000 introns...
Parsed 141000 introns...
Parsed 142000 introns...
Parsed 143000 introns...
Parsed 144000 introns...
Parsed 145000 introns...
Parsed 146000 introns...
Parsed 147000 introns...
Parsed 148000 introns...
Parsed 149000 introns...
Parsed 150000 introns...
Parsed 151000 introns...
Parsed 152000 introns...
Parsed 153000 introns...
Parsed 154000 introns...
Parsed 155000 introns...
Parsed 156000 introns...
Parsed 157000 introns...
Parsed 158000 introns...
Parsed 159000 introns...
Parsed 160000 introns...
Parsed 161000 introns...
Parsed 162000 introns...
Parsed 163000 introns...
Parsed 164000 introns...
Parsed 165000 introns...
Parsed 166000 introns...
Parsed 167000 introns...
Parsed 168000 introns...
Parsed 169000 introns...
Parsed 170000 introns...
Parsed 171000 introns...
Parsed 172000 introns...
Parsed 173000 introns...
Parsed 174000 introns...
Parsed 175000 introns...
Parsed 176000 introns...
Parsed 177000 introns...
Parsed 178000 introns...
Parsed 179000 introns...
Parsed 180000 introns...
Parsed 181000 introns...
Parsed 182000 introns...
Parsed 183000 introns...
Parsed 184000 introns...
Parsed 185000 introns...
Parsed 186000 introns...
Parsed 187000 introns...
Parsed 188000 introns...
Parsed 189000 introns...
Parsed 190000 introns...
Parsed 191000 introns...
Parsed 192000 introns...
Parsed 193000 introns...
Parsed 194000 introns...
Parsed 195000 introns...
Parsed 196000 introns...
Parsed 197000 introns...
Parsed 198000 introns...
Parsed 199000 introns...
Parsed 200000 introns...
Parsed 201000 introns...
Parsed 202000 introns...
Parsed 203000 introns...
Parsed 204000 introns...
Parsed 205000 introns...
Parsed 206000 introns...
Parsed 207000 introns...
Parsed 208000 introns...
Parsed 209000 introns...
Parsed 210000 introns...
Parsed 211000 introns...
Outputting: ../data/clusters/leafcutter_perind.counts.chrom.gz.qqnorm_chr13
Outputting: ../data/clusters/leafcutter_perind.counts.chrom.gz.qqnorm_chr12
Outputting: ../data/clusters/leafcutter_perind.counts.chrom.gz.qqnorm_chr11
Outputting: ../data/clusters/leafcutter_perind.counts.chrom.gz.qqnorm_chr10
Outputting: ../data/clusters/leafcutter_perind.counts.chrom.gz.qqnorm_chr17
Outputting: ../data/clusters/leafcutter_perind.counts.chrom.gz.qqnorm_chr16
Outputting: ../data/clusters/leafcutter_perind.counts.chrom.gz.qqnorm_chr15
Outputting: ../data/clusters/leafcutter_perind.counts.chrom.gz.qqnorm_chr14
Outputting: ../data/clusters/leafcutter_perind.counts.chrom.gz.qqnorm_chr19
Outputting: ../data/clusters/leafcutter_perind.counts.chrom.gz.qqnorm_chr18
Outputting: ../data/clusters/leafcutter_perind.counts.chrom.gz.qqnorm_chr22
Outputting: ../data/clusters/leafcutter_perind.counts.chrom.gz.qqnorm_chr20
Outputting: ../data/clusters/leafcutter_perind.counts.chrom.gz.qqnorm_chr21
Outputting: ../data/clusters/leafcutter_perind.counts.chrom.gz.qqnorm_chr7
Outputting: ../data/clusters/leafcutter_perind.counts.chrom.gz.qqnorm_chr6
Outputting: ../data/clusters/leafcutter_perind.counts.chrom.gz.qqnorm_chr5
Outputting: ../data/clusters/leafcutter_perind.counts.chrom.gz.qqnorm_chr4
Outputting: ../data/clusters/leafcutter_perind.counts.chrom.gz.qqnorm_chr3
Outputting: ../data/clusters/leafcutter_perind.counts.chrom.gz.qqnorm_chr2
Outputting: ../data/clusters/leafcutter_perind.counts.chrom.gz.qqnorm_chr1
Outputting: ../data/clusters/leafcutter_perind.counts.chrom.gz.qqnorm_chr9
Outputting: ../data/clusters/leafcutter_perind.counts.chrom.gz.qqnorm_chr8
Use `sh ../data/clusters/leafcutter_perind.counts.chrom.gz_prepare.sh' to create index for fastQTL (requires tabix and bgzip).
Outputting PCs: ../data/clusters/leafcutter_perind.counts.chrom.gz.PCs
**** Job ends ****
Tue May 24 10:33:53 EDT 2022
